画像,カード名,カードタイプ,マナコスト,カードテキスト,パワー,タフネス,レアリティ
Abuelo's Awakening,Sorcery,{X}{3}{W},Return target artifact or non-Aura enchantment card from your graveyard to the battlefield with X additional +1/+1 counters on it. It’s a 1/1 Spirit creature with flying in addition to its other types.,,,Rare,https://cards.scryfall.io/large/front/f/9/f93b725e-2b9c-4830-ac54-b2562afe09bb.jpg?1699043056
Acrobatic Leap,Instant,{W},Target creature gets +1/+3 and gains flying until end of turn. Untap it.,,,Common,https://cards.scryfall.io/large/front/4/7/47f82d84-03ad-42dd-80ce-f0ac5e353e46.jpg?1699043064
Adaptive Gemguard,Artifact Creature — Gnome,{3}{W},Tap two untapped artifacts and/or creatures you control: Put a +1/+1 counter on Adaptive Gemguard. Activate only as a sorcery.,3,3,Common,https://cards.scryfall.io/large/front/8/3/83c91e24-b7e8-4040-80cb-d1b375002c10.jpg?1699043073
Attentive Sunscribe,Artifact Creature — Gnome,{1}{W},"Whenever Attentive Sunscribe becomes tapped, scry 1. (Look at the top card of your library. You may put that card on the bottom.)",2,2,Common,https://cards.scryfall.io/large/front/a/d/ad1a0159-7f00-429c-9318-b028b1e03ba8.jpg?1699043082
Bat Colony,Enchantment,{2}{W},"When Bat Colony enters the battlefield, create a 1/1 black Bat creature token with flying for each mana from a Cave spent to cast it.

Whenever a Cave enters the battlefield under your control, put a +1/+1 counter on target creature you control.",,,Uncommon,https://cards.scryfall.io/large/front/1/c/1c02134c-ec9f-4090-820e-8ba7ae4a8c2b.jpg?1699043091
Clay-Fired Bricks,Artifact,{1}{W},"When Clay-Fired Bricks enters the battlefield, search your library for a basic Plains card, reveal it, put it into your hand, then shuffle. You gain 2 life.

Craft with artifact {5}{W}{W} ({5}{W}{W}, Exile this artifact, Exile another artifact you control or an artifact card from your graveyard: Return this card transformed under its owner’s control. Craft only as a sorcery.)",,,Uncommon,https://cards.scryfall.io/large/front/8/a/8aece300-656b-4e0d-a45f-aa7feaff0a4e.jpg?1699125724
Cosmium Kiln,"Color Indicator: White
          Artifact",,"When Cosmium Kiln enters the battlefield, create two 1/1 colorless Gnome artifact creature tokens.

Creatures you control get +1/+1.",,,Uncommon,https://cards.scryfall.io/large/back/8/a/8aece300-656b-4e0d-a45f-aa7feaff0a4e.jpg?1699125724
Cosmium Blast,Instant,{1}{W},Cosmium Blast deals 4 damage to target attacking or blocking creature.,,,Common,https://cards.scryfall.io/large/front/1/9/193d1eac-ede7-4f75-9c74-05133b215f93.jpg?1699043121
Dauntless Dismantler,Creature — Human Artificer,{1}{W},"Artifacts your opponents control enter the battlefield tapped.

{X}{X}{W}, Sacrifice Dauntless Dismantler: Destroy each artifact with mana value X.",1,4,Uncommon,https://cards.scryfall.io/large/front/3/d/3d771631-0aab-4f09-b9a6-49b6b2d8d2aa.jpg?1699043129
Deconstruction Hammer,Artifact — Equipment,{W},"Equipped creature gets +1/+1 and has “{3}, {T}, Sacrifice Deconstruction Hammer: Destroy target artifact or enchantment.”

Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)",,,Common,https://cards.scryfall.io/large/front/0/c/0c7ba382-18c4-4833-b3d2-bd469ae2ad77.jpg?1699043140
Dusk Rose Reliquary,Artifact,{W},"As an additional cost to cast this spell, sacrifice an artifact or creature.

Ward {2}

When Dusk Rose Reliquary enters the battlefield, exile target artifact or creature an opponent controls until Dusk Rose Reliquary leaves the battlefield.",,,Uncommon,https://cards.scryfall.io/large/front/a/5/a5f231ef-4167-4b0a-b54c-a098b2eb2f6f.jpg?1699043151
Envoy of Okinec Ahau,Creature — Cat Advisor,{2}{W},{4}{W}: Create a 1/1 colorless Gnome artifact creature token.,3,3,Common,https://cards.scryfall.io/large/front/9/6/96de0741-9270-4118-bb8e-f3480c75a582.jpg?1699043160
Fabrication Foundry,Artifact,{1}{W},"{T}: Add {W}. Spend this mana only to cast an artifact spell or activate an ability of an artifact source.

{2}{W}, {T}, Exile one or more other artifacts you control with total mana value X: Return target artifact card with mana value X or less from your graveyard to the battlefield. Activate only as a sorcery.",,,Rare,https://cards.scryfall.io/large/front/3/2/323a05ee-8296-41c0-94ab-00913d9d84f1.jpg?1699043169
Family Reunion,Instant,{1}{W},"Choose one —

• Creatures you control get +1/+1 until end of turn.

• Creatures you control gain hexproof until end of turn. (They can’t be the targets of spells or abilities your opponents control.)",,,Common,https://cards.scryfall.io/large/front/5/c/5c2cfbdc-8d40-4abb-afca-6c6d8e36185b.jpg?1699043178
