iter	Cox
0	-136971.8378
1	-136734.1532
2	-136507.7601
3	-136324.6742
4	-136158.4817
5	-136035.9771
6	-135910.9279
7	-135798.3466
8	-135691.4014
9	-135610.1714
10	-135539.8417
11	-135470.689
12	-135406.7431
13	-135351.1584
14	-135298.034
15	-135251.5656
16	-135208.6788
17	-135167.6217
18	-135128.7643
19	-135093.5098
20	-135066.4108
21	-135035.4093
22	-135006.6176
23	-134973.0696
24	-134955.3917
25	-134933.063
26	-134909.195
27	-134891.0206
28	-134861.4598
29	-134839.5425
30	-134820.4856
31	-134807.9644
32	-134790.0007
33	-134768.6942
34	-134755.6329
35	-134742.0943
36	-134727.1429
37	-134711.7678
38	-134701.5714
39	-134692.5853
40	-134678.1305
41	-134666.8701
42	-134657.3337
43	-134642.5554
44	-134632.7998
45	-134623.4069
46	-134612.3971
47	-134596.5503
48	-134589.5304
49	-134583.5478
50	-134576.5865
51	-134566.6528
52	-134560.7515
53	-134546.6154
54	-134531.9508
55	-134521.8372
56	-134511.3052
57	-134499.7666
58	-134495.1068
59	-134489.8547
60	-134482.7925
61	-134477.1765
62	-134461.0353
63	-134453.1594
64	-134442.0649
65	-134430.6201
66	-134421.1135
67	-134412.0471
68	-134403.6775
69	-134396.246
70	-134391.7059
71	-134384.6756
72	-134373.8016
73	-134367.582
74	-134362.065
75	-134355.9335
76	-134347.8357
77	-134340.6922
78	-134336.2016
79	-134328.4304
80	-134321.6806
81	-134314.2586
82	-134307.4833
83	-134298.8087
84	-134295.3826
85	-134289.7787
86	-134281.9286
87	-134277.7658
88	-134266.8875
89	-134259.5574
90	-134252.8741
91	-134246.4551
92	-134237.7717
93	-134230.4007
94	-134226.4661
95	-134220.9517
96	-134215.2595
97	-134208.2467
98	-134199.9527
99	-134190.6425
100	-134182.547
101	-134176.3884
102	-134170.2178
103	-134162.3703
104	-134157.8865
105	-134143.7349
106	-134131.3603
107	-134120.6793
108	-134106.9054
109	-134092.785
110	-134084.8107
111	-134080.96
112	-134072.0649
113	-134071.7851
114	-134063.3892
