iter	Passed	Remaining
0	19	7831
1	38	7608
2	56	7497
3	74	7403
4	93	7348
5	111	7333
6	129	7262
7	147	7227
8	165	7182
9	184	7205
10	202	7173
11	220	7137
12	238	7109
13	256	7071
14	275	7073
15	293	7039
16	311	7017
17	329	7001
18	348	6985
19	366	6971
20	385	6950
21	404	6941
22	421	6914
23	440	6895
24	457	6863
25	475	6833
26	492	6809
27	510	6782
28	529	6772
29	547	6756
30	566	6738
31	583	6709
32	601	6691
33	619	6672
34	638	6655
35	656	6634
36	674	6614
37	691	6590
38	709	6566
39	727	6545
40	745	6525
41	763	6508
42	780	6480
43	799	6465
44	817	6446
45	835	6428
46	853	6410
47	871	6393
48	888	6367
49	906	6348
50	923	6322
51	941	6301
52	959	6283
53	977	6263
54	995	6244
55	1013	6224
56	1032	6212
57	1050	6191
58	1067	6169
59	1084	6146
60	1102	6127
61	1120	6106
62	1138	6087
63	1157	6074
64	1175	6058
65	1193	6038
66	1211	6023
67	1229	6005
68	1247	5983
69	1265	5965
70	1283	5945
71	1299	5917
72	1317	5901
73	1335	5884
74	1354	5870
75	1373	5853
76	1392	5840
77	1411	5825
78	1428	5805
79	1448	5792
80	1466	5774
81	1484	5756
82	1502	5740
83	1521	5723
84	1539	5706
85	1558	5691
86	1577	5674
87	1595	5657
88	1615	5643
89	1633	5627
90	1652	5612
91	1671	5594
92	1689	5578
93	1709	5564
94	1727	5547
95	1746	5530
96	1764	5512
97	1782	5494
98	1801	5476
99	1819	5457
100	1836	5437
101	1855	5420
102	1873	5401
103	1892	5386
104	1911	5369
105	1929	5351
106	1947	5332
107	1965	5314
108	1984	5298
109	2002	5279
110	2020	5260
111	2037	5239
112	2055	5221
113	2073	5202
114	2091	5183
115	2109	5163
116	2126	5142
117	2144	5124
118	2162	5105
119	2180	5088
120	2199	5070
121	2216	5051
122	2234	5032
123	2253	5014
124	2271	4996
125	2289	4977
126	2306	4958
127	2324	4939
128	2343	4922
129	2360	4902
130	2377	4881
131	2394	4862
132	2414	4846
133	2431	4826
134	2448	4805
135	2465	4786
136	2484	4769
137	2502	4751
138	2520	4732
139	2539	4716
140	2557	4698
141	2576	4680
142	2593	4661
143	2612	4644
144	2631	4627
145	2648	4607
146	2666	4589
147	2683	4569
148	2701	4550
149	2718	4531
150	2735	4511
151	2753	4492
152	2772	4475
153	2789	4456
154	2807	4438
155	2826	4420
156	2844	4402
157	2861	4383
158	2879	4365
159	2899	4348
160	2917	4331
161	2936	4314
162	2955	4297
163	2974	4279
164	2993	4262
165	3012	4246
166	3030	4227
167	3048	4209
168	3066	4191
169	3084	4173
170	3103	4155
171	3120	4136
172	3140	4120
173	3158	4103
174	3176	4084
175	3194	4065
176	3211	4045
177	3228	4026
178	3245	4006
179	3261	3986
180	3279	3968
181	3297	3950
182	3314	3930
183	3332	3911
184	3350	3894
185	3368	3875
186	3387	3858
187	3405	3840
188	3423	3821
189	3440	3803
190	3458	3783
191	3475	3765
192	3492	3746
193	3509	3726
194	3527	3708
195	3544	3689
196	3561	3670
197	3578	3651
198	3596	3632
199	3614	3614
200	3632	3596
201	3650	3578
202	3667	3559
203	3686	3541
204	3703	3522
205	3720	3504
206	3739	3486
207	3757	3468
208	3775	3450
209	3793	3432
210	3811	3414
211	3830	3397
212	3851	3381
213	3870	3363
214	3889	3346
215	3906	3327
216	3924	3309
217	3942	3291
218	3960	3273
219	3977	3254
220	3994	3235
221	4011	3216
222	4028	3197
223	4046	3179
224	4064	3161
225	4082	3142
226	4100	3124
227	4117	3106
228	4133	3086
229	4150	3067
230	4168	3050
231	4186	3031
232	4204	3013
233	4222	2995
234	4239	2976
235	4257	2958
236	4274	2939
237	4291	2921
238	4308	2902
239	4326	2884
240	4342	2865
241	4359	2846
242	4376	2827
243	4395	2810
244	4412	2791
245	4429	2773
246	4447	2754
247	4465	2736
248	4482	2718
249	4500	2700
250	4518	2682
251	4536	2664
252	4553	2645
253	4572	2628
254	4589	2609
255	4607	2591
256	4624	2573
257	4643	2555
258	4660	2537
259	4677	2518
260	4695	2500
261	4714	2483
